date,run_pipeline,Channel Name,sampleid,method,sub_method,condition,replicate,tissue,Lane,Index,project,project_orig,reference,chemistry,flowcell,seq_dir,min_umis,min_genes,percent_mito,cellbender_expected_cells,cellbender_total_droplets_included,focus,append,calc_signature_scores,introns,batch,mkfastq,notes
2023_06_09,TRUE,channel1,FF05494519,rna,rna,nuclei,channel1,pbmc,*,SI-TT-F7,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230609_SL-EXB_0024_B22523WLT3,400,200,20,3000,35000,,,,TRUE,batch3,bcl_convert,
2023_06_09,TRUE,channel1,FF05494550,rna,rna,nuclei,channel1,pbmc,*,SI-TT-B5,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230609_SL-EXB_0024_B22523WLT3,400,200,20,2000,40000,,,,TRUE,batch3,bcl_convert,
2023_06_09,TRUE,channel1,FF05494569,rna,rna,nuclei,channel1,pbmc,*,SI-TT-H5,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230609_SL-EXB_0024_B22523WLT3,400,200,20,5000,35000,,,,TRUE,batch3,bcl_convert,
2023_06_09,TRUE,channel1,FF05494621,rna,rna,nuclei,channel1,pbmc,*,SI-TT-F5,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230609_SL-EXB_0024_B22523WLT3,400,200,20,6000,45000,,,,TRUE,batch3,bcl_convert,
2023_06_09,TRUE,channel1,FF05494755,rna,rna,nuclei,channel1,pbmc,*,SI-TT-D5,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230609_SL-EXB_0024_B22523WLT3,400,200,20,4000,50000,,,,TRUE,batch3,bcl_convert,
2023_06_09,TRUE,channel1,FF05494817,rna,rna,nuclei,channel1,pbmc,*,SI-TT-E5,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230609_SL-EXB_0024_B22523WLT3,400,200,20,2000,35000,,,,TRUE,batch3,bcl_convert,
2023_06_09,TRUE,channel1,FF05494832,rna,rna,nuclei,channel1,pbmc,*,SI-TT-G5,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230609_SL-EXB_0024_B22523WLT3,400,200,20,5000,35000,,,,TRUE,batch3,bcl_convert,
2023_06_09,TRUE,channel1,FF05494851,rna,rna,nuclei,channel1,pbmc,*,SI-TT-D4,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230609_SL-EXB_0024_B22523WLT3,400,200,20,3000,35000,,,,TRUE,batch3,bcl_convert,
2023_06_09,TRUE,channel1,FF06996219,rna,rna,nuclei,channel1,pbmc,*,SI-TT-H4,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230609_SL-EXB_0024_B22523WLT3,400,200,20,3000,30000,,,,TRUE,batch3,bcl_convert,
2023_06_09,TRUE,channel1,FF06996389,rna,rna,nuclei,channel1,pbmc,*,SI-TT-C5,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230609_SL-EXB_0024_B22523WLT3,400,200,20,4000,45000,,,,TRUE,batch3,bcl_convert,
2023_06_09,TRUE,channel1,FF06996482,rna,rna,nuclei,channel1,pbmc,*,SI-TT-H12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230609_SL-EXB_0024_B22523WLT3,400,200,20,5000,40000,,,,TRUE,batch3,bcl_convert,
2023_06_09,TRUE,channel1,FF06996929,rna,rna,nuclei,channel1,pbmc,*,SI-TT-E7,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230609_SL-EXB_0024_B22523WLT3,400,200,20,5000,35000,,,,TRUE,batch3,bcl_convert,
2023_06_09,TRUE,channel1,FF06997708,rna,rna,nuclei,channel1,pbmc,*,SI-TT-E4,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230609_SL-EXB_0024_B22523WLT3,400,200,20,4000,40000,,,,TRUE,batch3,bcl_convert,
2023_06_09,TRUE,channel1,FF06997835,rna,rna,nuclei,channel1,pbmc,*,SI-TT-C4,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230609_SL-EXB_0024_B22523WLT3,400,200,20,6000,40000,,,,TRUE,batch3,bcl_convert,
2023_06_09,TRUE,channel1,FF06998244,rna,rna,nuclei,channel1,pbmc,*,SI-TT-B4,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230609_SL-EXB_0024_B22523WLT3,400,200,20,2000,40000,,,,TRUE,batch3,bcl_convert,
2023_06_09,TRUE,channel1,FF09458629,rna,rna,nuclei,channel1,pbmc,*,SI-TT-C9,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230609_SL-EXB_0024_B22523WLT3,400,200,20,5000,45000,,,,TRUE,batch3,bcl_convert,
2023_06_09,TRUE,channel1,FF09458629_bambanker,rna,rna,nuclei,channel1,pbmc,*,SI-TT-D8,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230609_SL-EXB_0024_B22523WLT3,400,200,20,6000,40000,,,,TRUE,batch3,bcl_convert,
2023_06_09,TRUE,channel1,FF09458680,rna,rna,nuclei,channel1,pbmc,*,SI-TT-A9,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230609_SL-EXB_0024_B22523WLT3,400,200,20,5000,40000,,,,TRUE,batch3,bcl_convert,
2023_06_09,TRUE,channel1,FF09458762,rna,rna,nuclei,channel1,pbmc,*,SI-TT-E9,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230609_SL-EXB_0024_B22523WLT3,400,200,20,6000,40000,,,,TRUE,batch3,bcl_convert,
2023_06_09,TRUE,channel1,FF09458762_nfm,rna,rna,nuclei,channel1,pbmc,*,SI-TT-E8,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230609_SL-EXB_0024_B22523WLT3,400,200,20,5000,40000,,,,TRUE,batch3,bcl_convert,
2023_06_09,TRUE,channel1,FF09458800,rna,rna,nuclei,channel1,pbmc,*,SI-TT-H9,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230609_SL-EXB_0024_B22523WLT3,400,200,20,6000,45000,,,,TRUE,batch3,bcl_convert,
2023_06_09,TRUE,channel1,FF09458839,rna,rna,nuclei,channel1,pbmc,*,SI-TT-G9,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,22523WLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_gex/fastqs_FINNGEN/230609_SL-EXB_0024_B22523WLT3,400,200,20,5000,45000,,,,TRUE,batch3,bcl_convert,
